tweet_id	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1241340825537318913	yes	no	yes	no	yes	no	no
1261310368594477059	yes	no	yes	no	yes	no	yes
1241793562536263681	yes	no	yes	yes	yes	yes	no
1246337136581844994	no	NA	NA	NA	NA	no	no
1368604061394755601	yes	no	yes	no	no	no	no
1369988744728616965	yes	no	yes	no	no	no	no
1290544070461460480	yes	no	yes	no	yes	no	no
1240161828505821185	yes	no	yes	no	yes	no	yes
1289095699158781952	no	NA	NA	NA	NA	no	no
1369625351526219777	yes	no	yes	yes	yes	yes	yes
1369297160664084480	yes	no	yes	no	no	no	no
1370062857698742272	no	NA	NA	NA	NA	no	no
1368857566743298050	no	NA	NA	NA	NA	no	no
1294348341581619200	yes	yes	yes	no	no	no	no
1242161144170778627	no	NA	NA	NA	NA	no	no
1369929872529907713	yes	no	yes	no	no	no	no
1241216305660862464	yes	no	yes	yes	no	no	no
1289528696051826689	yes	no	yes	no	yes	yes	yes
1253684196238860288	no	NA	NA	NA	NA	no	no
1292339046367322113	yes	no	yes	no	no	no	no
1247380490643845120	yes	no	yes	no	yes	no	yes
1249436808196362245	no	NA	NA	NA	NA	no	no
1291434555187109893	yes	no	yes	no	no	no	yes
1232631203028705281	no	NA	NA	NA	NA	no	no
1285506506432172033	yes	yes	yes	yes	yes	yes	yes
1370457063210508288	yes	no	yes	no	no	no	no
1370321176090845189	no	NA	NA	NA	NA	no	no
1240009951776407553	yes	no	yes	no	no	no	no
1285674956987277312	no	NA	NA	NA	NA	no	no
1293902181288968192	no	NA	NA	NA	NA	no	yes
1232434962806083584	yes	yes	yes	no	yes	no	no
1241114945942695936	yes	no	yes	yes	yes	yes	no
1272885616443895811	yes	no	yes	no	yes	no	yes
1370011490435092485	yes	no	yes	no	no	no	no
1250286978488086529	yes	no	no	no	no	no	no
1243820953072799745	yes	no	yes	no	yes	no	no
1293213670160379904	yes	yes	yes	yes	no	no	yes
1370452790577860609	yes	no	yes	no	no	no	no
1233336853954207745	no	NA	NA	NA	NA	no	yes
1294127521458421760	yes	yes	yes	yes	yes	no	no
1291795684975411201	no	NA	NA	NA	NA	no	yes
1261308244879970307	yes	no	yes	no	no	no	no
1364287781435043840	yes	no	yes	no	no	no	no
1299319569815928832	yes	no	yes	no	no	no	yes
1294549225221619713	yes	no	yes	no	no	no	yes
1369337148822982662	yes	no	yes	no	no	no	no
1366410882910220290	no	NA	NA	NA	NA	no	no
1287699679296335872	yes	no	yes	no	no	no	no
1293661815721820162	yes	yes	yes	yes	yes	yes	yes
1367839970732425222	no	NA	NA	NA	NA	no	no
1239085971850870784	yes	no	yes	no	yes	no	no
1294050600930488320	yes	no	yes	no	no	no	yes
1367535976797646851	no	NA	NA	NA	NA	no	yes
1262675074647232512	yes	no	yes	no	no	no	no
1368990026856620038	yes	no	yes	no	no	no	no
1295461649038663680	yes	no	no	no	no	no	no
1293149868471525378	no	NA	NA	NA	NA	no	no
1369336066289852423	yes	no	yes	no	no	no	no
1235812754495172608	yes	no	yes	yes	yes	no	yes
1298212065992155137	yes	no	yes	no	yes	no	yes
1369976417220505600	yes	no	yes	no	no	no	no
1369005778963726337	yes	no	yes	no	no	no	no
1367438740998795264	no	NA	NA	NA	NA	no	no
1367182806271619072	yes	no	yes	no	no	no	yes
1293108839127162881	no	NA	NA	NA	NA	no	yes
1281505288676417536	yes	no	yes	no	no	no	yes
1249367180996558850	no	NA	NA	NA	NA	no	no
1250653392336273408	yes	no	yes	no	no	no	no
1293448886414184449	no	NA	NA	NA	NA	no	yes
1247899350618927104	no	NA	NA	NA	NA	no	yes
1293120382728376322	yes	yes	yes	no	no	no	yes
1250346805000204289	no	NA	NA	NA	NA	no	no
1370277887488720900	yes	no	yes	no	no	no	no
1246024685424443392	yes	no	yes	no	no	yes	yes
1293066694106152960	no	NA	NA	NA	NA	no	yes
1241246662791778305	yes	no	yes	no	no	no	no
1367064933809160193	yes	no	yes	NA	yes	yes	yes
1364942766166409220	no	NA	NA	NA	NA	no	yes
1240217315238645760	yes	no	yes	no	no	no	no
1266292355579047936	yes	no	yes	yes	no	no	no
1279526246603464713	yes	yes	yes	yes	yes	yes	no
1292436699612696577	yes	no	yes	no	no	no	yes
1253608252199170048	yes	no	no	no	no	no	no
1292030245801951232	yes	yes	yes	no	no	no	yes
1369393824913620994	yes	no	yes	no	no	no	no
1233386614199607296	no	NA	NA	NA	NA	no	no
1256993925304377345	yes	no	yes	no	no	no	no
1245063274305146880	no	NA	NA	NA	NA	no	no
1369179896916959238	yes	no	yes	yes	no	no	no
1370359373034295299	yes	no	yes	no	no	no	no
1298889240592420864	yes	no	yes	no	yes	no	no
1235372501875769350	no	NA	NA	NA	NA	no	no
1244885898644336640	yes	no	yes	no	no	no	no
1369976904212766722	no	NA	NA	NA	NA	no	no
1271858669349752836	yes	yes	yes	no	yes	no	yes
1249646991769993218	no	NA	NA	NA	NA	yes	no
1369431050661793795	yes	no	yes	no	no	no	no
1368924027486674944	yes	no	yes	yes	yes	yes	yes
1368432601891934210	yes	no	yes	no	no	no	no
1290906490837118976	yes	no	yes	no	no	no	no
1366810742230560773	yes	no	yes	no	no	no	yes
1298535681942323205	no	NA	NA	NA	NA	no	yes
1271459248157929472	yes	yes	yes	no	no	no	no
1257912613767393280	yes	no	yes	no	no	no	no
1368413604773564416	yes	no	yes	no	no	no	no
1367536000478679042	yes	no	yes	no	no	no	yes
1243450283885309952	yes	no	yes	no	yes	no	no
1298968508319973376	yes	no	yes	no	yes	no	yes
1239152526026518534	yes	no	yes	no	yes	no	no
1246333232158777345	yes	no	yes	no	no	yes	no
1370872303756578816	yes	no	yes	no	no	no	no
1366410457708449798	yes	no	yes	no	yes	no	yes
1298928253701435393	no	NA	NA	NA	NA	no	no
1298926001750183936	yes	no	yes	no	no	no	no
1249997743826833410	yes	no	yes	no	no	yes	yes
1241184976974077953	no	NA	NA	NA	NA	no	no
1237797650247880706	yes	no	yes	yes	no	no	no
1244957675579981824	yes	no	yes	no	yes	no	yes
1370139261534679044	yes	yes	yes	yes	yes	yes	yes
1292094546847956993	yes	no	yes	yes	yes	yes	yes
1369108887085846530	yes	no	yes	no	no	no	no
1370515467148918788	yes	no	yes	no	no	no	no
1369110232232693762	yes	no	yes	no	no	no	no
1293848055427534849	yes	yes	yes	no	yes	no	yes
1285789554239209472	no	NA	NA	NA	NA	no	no
1253593428971184129	yes	no	yes	no	no	no	no
1241733654088482817	yes	no	yes	no	yes	no	yes
1237034836893650945	no	NA	NA	NA	NA	no	yes
1297579126845575179	no	NA	NA	NA	NA	no	yes
1283146575171031040	yes	yes	yes	no	yes	no	yes
1368718830881566720	no	NA	NA	NA	NA	no	no
1368517348379000835	yes	no	yes	no	no	no	no
1293596580168323073	no	NA	NA	NA	NA	yes	yes
1281657157524623361	yes	no	yes	no	no	no	no
1370867077146419205	no	NA	NA	NA	NA	no	no
1250312721158959110	yes	no	yes	no	yes	no	no
1281975571271032834	yes	no	yes	no	no	no	no
1367140964012339201	yes	no	yes	no	no	no	yes
1294094106113712128	yes	no	yes	no	no	no	yes
1294659910882533376	yes	no	yes	no	no	no	no
1293161845021442049	no	NA	NA	NA	NA	no	yes
1370927884177600512	no	NA	NA	NA	NA	no	no
1269525572012646411	no	NA	NA	NA	NA	no	no
1262660895207022592	no	NA	NA	NA	NA	no	no
1247642932485726208	no	NA	NA	NA	NA	no	no
1236011497416990720	no	NA	NA	NA	NA	no	no
1291662376153030656	yes	no	yes	no	no	no	no
1241375047455059975	yes	no	no	no	no	no	no
1238819035418169345	no	NA	NA	NA	NA	no	no
1369614157054676993	yes	no	yes	no	no	no	no
1248861446253039618	yes	no	yes	no	no	no	no
1369396310009389062	no	NA	NA	NA	NA	no	no
1233149924461752321	yes	no	no	no	no	no	no
1368641767591931904	yes	no	yes	no	no	no	no
1371046011607654403	no	NA	NA	NA	NA	no	no
1282349247908610049	no	NA	NA	NA	NA	no	no
1238561939405656071	no	NA	NA	NA	NA	no	no
1370060449362948102	no	NA	NA	NA	NA	no	yes
1279285703260737537	yes	NA	yes	no	no	no	no
1294248121543856129	yes	NA	yes	no	no	no	no
1287403160030662657	yes	no	yes	no	no	no	no
1289900220197683206	yes	yes	yes	yes	yes	yes	yes
1370366466797735939	yes	no	yes	no	no	no	no
1293154705158410240	yes	yes	yes	no	no	yes	no
1366808141556506632	no	NA	NA	NA	NA	no	no
1259302134396248064	yes	no	yes	no	no	no	yes
1250364636098187264	no	NA	NA	NA	NA	no	no
1237349518359724032	yes	no	no	no	no	no	no
1289380352998309888	yes	no	yes	no	no	no	yes
1370431478321053703	yes	no	yes	no	no	no	no
1293115185964687360	yes	yes	yes	no	no	no	yes
1241745355957514241	no	NA	NA	NA	NA	no	yes
1248720676330057730	yes	no	yes	no	no	no	yes
1350907284575043584	yes	NA	yes	yes	yes	yes	yes
1368974490470916106	yes	no	yes	no	no	no	no
1285296224581681164	no	NA	NA	NA	NA	no	no
1256429797565235201	yes	no	yes	no	no	yes	no
1286031045352202240	yes	no	yes	yes	yes	yes	no
1369762568642891779	yes	no	yes	no	no	no	no
1294196158647218176	no	NA	NA	NA	NA	no	no
1290177997379641344	no	NA	NA	NA	NA	no	yes
1237448230381801475	yes	no	yes	no	yes	no	yes
1368521484600111111	no	NA	NA	NA	NA	no	no
1369819551504949249	yes	no	yes	no	no	no	no
1369315050763268101	yes	no	yes	no	no	no	no
1239640019834474498	no	NA	NA	NA	NA	yes	no
1250820137902641152	no	NA	NA	NA	NA	no	no
1369537957510676482	yes	no	yes	no	no	no	no
1290252656984731648	yes	yes	yes	yes	no	yes	yes
1287666455727812609	no	NA	NA	NA	NA	yes	yes
1293186732020469762	yes	no	yes	no	no	no	yes
1225148151667077120	no	NA	NA	NA	NA	no	no
1295840382203420679	no	NA	NA	NA	NA	no	yes
1367434426720940032	yes	no	yes	no	no	no	yes
1242991759380054027	yes	no	yes	no	no	no	yes
1366372730610851841	no	NA	NA	NA	NA	no	no
1281484925716357121	yes	no	yes	no	yes	yes	yes
1289419365788430342	yes	no	yes	no	no	no	no
1368557112624885763	no	NA	NA	NA	NA	no	no
1273914043414142978	yes	no	yes	no	no	no	yes
1297147776502059008	yes	yes	no	yes	no	yes	yes
1369145185821544448	yes	no	yes	no	no	no	no
1293128365327683585	yes	yes	yes	no	yes	no	yes
1251852901674364929	yes	NA	yes	NA	yes	no	no
1274984566067871744	no	NA	NA	NA	NA	no	no
1270459549632417792	yes	no	yes	no	no	no	no
1368301609646776327	yes	no	yes	yes	no	no	no
1297629776144891905	yes	no	yes	no	no	no	yes
1271384255134867458	yes	no	no	no	no	yes	no
1296474810474782721	yes	no	yes	no	no	no	yes
1369687587988910084	yes	no	yes	yes	yes	no	yes
1293140574099451907	yes	yes	yes	no	no	no	yes
1369124247503736835	yes	no	yes	no	no	no	no
1363912410910744578	no	NA	NA	NA	NA	no	no
1371014799228858372	yes	yes	yes	no	yes	yes	yes
1234123491819106305	yes	no	yes	no	no	no	no
1369302602089979907	no	NA	NA	NA	NA	no	no
1265984231450316800	no	NA	NA	NA	NA	no	no
1237029555015213056	no	NA	NA	NA	NA	yes	no
1259947912643047424	yes	yes	yes	yes	no	yes	yes
1291157025066561538	yes	yes	yes	yes	yes	yes	yes
1244528163474079744	no	NA	NA	NA	NA	no	no
1370234860967653382	yes	no	yes	no	no	no	no
1369646471625203715	yes	no	yes	yes	no	no	yes
1369374640066473984	yes	no	yes	yes	no	no	no
1367969699317702657	yes	no	yes	no	no	no	no
1293031566357258240	yes	no	yes	no	yes	no	no
1291445306345902080	yes	no	yes	no	no	no	no
1370634269459152899	no	NA	NA	NA	NA	no	yes
1238701048681893888	no	NA	NA	NA	NA	no	no
1365324501475594243	yes	no	yes	no	no	no	no
1254403556683194372	no	NA	NA	NA	NA	no	no
1235197302333149185	yes	NA	yes	yes	yes	no	yes
1370011630445158408	no	NA	NA	NA	NA	no	no
