tweet_id	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1297844916031283200	yes	no	yes	no	no	no	yes
1241050230910525441	yes	yes	yes	yes	yes	yes	yes
1366702364191817735	no	NA	NA	NA	NA	no	no
1293904843057197059	no	NA	NA	NA	NA	yes	yes
1293258125508849667	no	NA	NA	NA	NA	yes	yes
1293741103892639744	no	NA	NA	NA	NA	yes	no
1367191225523142658	yes	yes	yes	yes	no	yes	yes
1261364335152181249	no	NA	NA	NA	NA	no	yes
1292567625071984640	no	NA	NA	NA	NA	yes	yes
1298319002134032390	yes	no	yes	yes	yes	yes	yes
1366470458556710912	no	NA	NA	NA	NA	no	no
1293135522592894982	yes	yes	yes	no	no	no	yes
1293316629372317697	yes	no	yes	yes	yes	yes	yes
1366516159156215809	no	NA	NA	NA	NA	no	no
1366800128426844162	no	NA	NA	NA	NA	no	no
1254164155285884928	yes	yes	no	no	no	no	NA
1293135227867607040	yes	no	yes	no	no	no	no
1293222583769485313	yes	no	yes	no	no	no	no
1293304065506643969	yes	no	yes	no	no	no	yes
1275212088932208640	yes	yes	yes	yes	no	yes	yes
1291694962543910913	yes	no	yes	no	no	no	yes
1295336697564209153	yes	no	yes	no	no	no	no
1298371372503179264	no	NA	NA	NA	NA	yes	no
1283157823409586177	yes	no	yes	no	no	no	no
1367489829215305730	no	NA	NA	NA	NA	yes	yes
1367526626859376641	no	NA	NA	NA	NA	no	no
1293503992715259906	no	NA	NA	NA	NA	no	no
1296531278628556802	no	NA	NA	NA	NA	no	yes
1240902166296002560	yes	yes	yes	yes	yes	yes	yes
1291670951902556165	yes	no	yes	no	no	no	yes
1293126214652223489	yes	no	yes	no	no	no	yes
1293204537646428162	yes	yes	yes	yes	no	yes	yes
1298600347116675072	yes	yes	yes	no	no	no	yes
1293978151845015552	no	NA	NA	NA	NA	no	no
1366968791041777665	no	NA	NA	NA	NA	no	yes
1293135339301855234	yes	no	yes	no	yes	no	yes
1293128365327683585	yes	yes	yes	no	yes	no	yes
1243569893435293696	no	NA	NA	NA	NA	no	no
1292211685080674304	yes	no	yes	no	no	no	yes
1292124818821844993	no	NA	NA	NA	NA	no	no
1366884091564593152	yes	no	yes	no	yes	no	yes
1366751406485614593	no	NA	NA	NA	NA	no	no
1252884851969019905	yes	no	yes	no	no	no	yes
1285211631212015623	yes	no	yes	no	yes	no	yes
1261774646371901440	yes	no	yes	no	no	no	no
1367513717571739651	no	NA	NA	NA	NA	no	no
1287450638033522689	no	NA	NA	NA	NA	no	yes
1289380352998309888	yes	no	yes	no	no	no	yes
1291106757545254913	yes	yes	yes	no	no	no	no
1367182806271619072	yes	no	yes	no	no	no	yes
1366432076287909888	no	NA	NA	NA	NA	no	no
1293176000797278208	yes	no	yes	no	yes	no	yes
1242212900879695873	no	NA	NA	NA	NA	no	no
1366779099818123265	yes	no	yes	yes	yes	yes	yes
1289577599853764608	no	NA	NA	NA	NA	no	no
1294524230164414464	yes	yes	yes	no	no	no	no
1367498088563306502	yes	yes	yes	no	no	no	yes
1289954745457623040	yes	no	yes	no	no	no	no
1367494503758766084	no	NA	NA	NA	NA	no	yes
1262476084563423232	yes	yes	no	no	no	no	no
1297880631536431105	yes	no	yes	no	no	no	no
1292946665142464515	yes	no	yes	no	no	no	no
1290607570256789509	yes	yes	yes	no	yes	no	no
1294609876593840129	yes	no	yes	no	no	no	yes
1260250552753160193	yes	yes	yes	no	no	no	no
1295778884907143169	yes	yes	yes	yes	yes	yes	yes
1367386122268082177	no	NA	NA	NA	NA	no	no
1366408922979000327	no	NA	NA	NA	NA	yes	yes
1298269689055830021	yes	no	yes	yes	no	no	yes
1293115474549649408	yes	no	yes	no	yes	no	yes
1366729469961113605	yes	no	yes	no	no	no	yes
1366844877548515332	yes	no	yes	no	no	no	yes
1367521882778525697	no	NA	NA	NA	NA	no	no
1366732603848597511	yes	no	yes	no	no	no	yes
1296172948701753344	yes	yes	yes	yes	no	no	yes
1286059614040203265	yes	yes	yes	yes	no	yes	yes
1293793565534040065	no	NA	NA	NA	NA	no	yes
1293265380065058817	no	NA	NA	NA	NA	no	no
1297507790047543296	yes	yes	yes	no	no	no	yes
1293569046387003392	no	NA	NA	NA	NA	no	no
1289973319027036167	yes	no	yes	no	no	no	yes
1367142615435661313	yes	no	NA	no	no	no	no
1288183028821393414	no	NA	NA	NA	NA	yes	yes
1292923238851530753	yes	yes	yes	no	yes	yes	yes
1293130474525786112	yes	no	yes	no	no	no	yes
1260885503525748736	yes	no	yes	no	no	no	yes
1293614432111779843	no	NA	NA	NA	NA	no	no
1296531730464157696	yes	no	yes	no	no	no	yes
1241093527339012096	yes	no	yes	no	no	no	no
1296823379190833152	yes	no	yes	no	no	no	yes
1291256439558885377	yes	no	no	no	no	no	yes
1297239615221440515	yes	no	yes	yes	no	yes	yes
1296505818653896705	yes	no	yes	no	no	no	yes
1293132552799227904	yes	no	yes	no	no	no	yes
1287859375751811072	yes	yes	yes	yes	yes	yes	yes
1293133076445396993	yes	yes	yes	yes	no	yes	yes
1295394812397604864	no	NA	NA	NA	NA	no	no
1292891837028618242	yes	no	yes	no	yes	no	yes
1261227360365543424	yes	no	yes	no	yes	no	yes
1292187295379001347	yes	no	yes	no	yes	no	yes
1293277243913965568	yes	yes	yes	yes	yes	yes	yes
1292224881149476864	yes	no	yes	no	no	no	yes
1255613885253632002	yes	no	yes	yes	no	yes	yes
1366802712776613889	no	NA	NA	NA	NA	no	no
1293170478228606978	yes	yes	yes	no	no	no	yes
1366303541724381184	yes	no	yes	yes	yes	no	yes
1297579126845575179	no	NA	NA	NA	NA	no	yes
1241786335960207363	no	NA	NA	NA	NA	no	no
1242252101276913672	yes	no	yes	no	yes	no	no
1262394586464489473	yes	no	yes	no	no	no	no
1291445686630862849	no	NA	NA	NA	NA	no	yes
1293169051749974018	no	NA	NA	NA	NA	no	no
1366482163810598919	no	NA	NA	NA	NA	no	no
1287799806459408385	yes	no	yes	no	yes	no	no
1261310368594477059	yes	no	yes	no	yes	no	yes
1367494884156973058	no	NA	NA	NA	NA	no	yes
1367443253843345413	no	NA	NA	NA	NA	no	yes
1366356621920714752	no	NA	NA	NA	NA	no	no
1366624548154716160	no	NA	NA	NA	NA	no	no
1367511514182258694	no	NA	NA	NA	NA	no	no
1294051108768239617	yes	no	yes	no	no	no	yes
1366463018364776450	yes	no	yes	no	no	no	yes
1261613592660639744	yes	no	yes	no	no	no	yes
1294382401620254726	no	NA	NA	NA	NA	no	yes
1242430142338793473	yes	no	yes	no	no	no	no
1293108070906724352	yes	no	yes	no	no	no	yes
1293135991914598401	yes	no	yes	no	no	no	no
1366272417753161728	yes	no	yes	no	no	no	yes
1293119212916023296	no	NA	NA	NA	NA	yes	yes
1298321274121465858	yes	yes	yes	no	no	no	yes
1293639773932998656	yes	no	yes	no	no	no	yes
1296788906030096385	yes	no	no	no	no	no	yes
1297657979517509634	yes	yes	yes	yes	yes	no	yes
1295002612098641922	yes	no	yes	no	no	no	yes
1293790721049231367	yes	no	yes	yes	no	yes	yes
1293789117222989824	yes	no	yes	yes	yes	no	yes
1289594837570695168	yes	yes	yes	no	no	no	yes
1296824705450745856	no	NA	NA	NA	NA	no	yes
1293156172032286720	yes	yes	yes	no	no	no	yes
1297602002428493826	yes	no	yes	no	yes	no	yes
1293610838755028995	no	NA	NA	NA	NA	no	yes
1293200943576686592	yes	yes	yes	yes	yes	yes	yes
1296120493809049602	yes	no	yes	no	no	no	yes
1295510624613654529	yes	no	yes	yes	no	no	yes
1251616665009369094	no	NA	NA	NA	NA	no	no
1297483984868433921	yes	no	yes	no	no	no	yes
1297859755998883840	no	NA	NA	NA	NA	no	no
1293616524389908480	yes	no	yes	yes	no	yes	yes
1294977477874520070	yes	no	no	no	no	yes	yes
1366203044195676161	yes	yes	yes	yes	no	yes	yes
1261758523836424196	no	NA	NA	NA	NA	no	no
1300428408233615360	yes	no	yes	no	yes	no	yes
1367496781328748548	no	NA	NA	NA	NA	no	yes
1367453281602195456	yes	no	yes	no	no	no	yes
1367182497314983936	yes	no	yes	no	no	no	no
1296444596088692737	yes	yes	yes	yes	yes	yes	yes
1293159620098379776	yes	no	yes	no	yes	no	yes
1367469901213036548	yes	no	yes	no	yes	yes	yes
1297537029425844225	no	NA	NA	NA	NA	no	no
1290266432446402560	yes	yes	yes	yes	yes	yes	yes
1293211982095699970	no	NA	NA	NA	NA	no	yes
1293623463991824386	no	NA	NA	NA	NA	no	yes
1293335941487177728	yes	no	yes	no	yes	no	yes
1367490720018427905	yes	no	yes	no	no	no	yes
1295737828756852737	yes	no	yes	no	no	no	no
1299345999693926400	yes	no	yes	no	no	no	no
1293149751530192898	yes	yes	yes	no	no	no	yes
1262117356060499968	yes	yes	yes	yes	no	yes	no
1293975627725406208	yes	no	yes	yes	yes	yes	yes
1241401385536667648	no	NA	NA	NA	NA	no	no
1366846108425666560	yes	no	yes	no	no	no	yes
1367032411918336002	yes	no	yes	no	no	no	yes
1237271592524296193	yes	no	yes	no	no	no	yes
1292513489760792578	yes	no	yes	no	no	no	no
1294023687839068160	yes	no	yes	no	no	no	yes
1367485527943962632	no	NA	NA	NA	NA	no	no
1289992112553918464	yes	yes	yes	yes	yes	yes	yes
1241672147476664320	no	NA	NA	NA	NA	no	no
1294135490061336583	yes	no	yes	no	no	no	yes
1249824653847269376	yes	yes	yes	yes	no	yes	yes
1293211107348426753	yes	no	yes	no	no	no	no
1296824378923966466	no	NA	NA	NA	NA	yes	yes
1293798730685132801	no	NA	NA	NA	NA	no	no
1290897995513442306	yes	yes	yes	yes	no	yes	yes
1293138363759853575	yes	yes	yes	yes	yes	yes	yes
1367526925846069249	no	NA	NA	NA	NA	no	no
1367511755316994051	no	NA	NA	NA	NA	no	no
1293217312854675456	yes	yes	yes	no	no	no	no
1293268556637974528	yes	no	yes	no	yes	no	yes
1291640218261413890	yes	no	yes	no	yes	no	no
1263590429523468290	yes	no	yes	no	no	no	yes
1296506661075652609	no	NA	NA	NA	NA	yes	yes
1262838184443916288	yes	no	yes	no	no	no	yes
1293782083689750533	yes	no	no	no	no	no	yes
1367520338519748612	yes	no	yes	no	no	no	yes
1367514040927404035	no	NA	NA	NA	NA	no	no
1292183934005121024	yes	no	yes	NA	no	no	yes
1292733350893912067	yes	yes	yes	yes	yes	yes	yes
1367523187756568583	yes	no	yes	no	no	no	yes
1293120274951438336	yes	no	yes	no	yes	no	yes
1300520032926130176	yes	yes	no	no	no	no	no
1259786343418388481	yes	yes	yes	yes	no	yes	yes
1366756463008432135	yes	no	yes	no	no	no	yes
1293118117221208065	yes	no	yes	no	yes	no	yes
1291463824550309891	yes	no	yes	no	yes	no	yes
1297848850732941314	yes	yes	yes	no	yes	no	yes
1367366093942255618	no	NA	NA	NA	NA	no	yes
1271462383295369218	yes	no	yes	no	no	no	yes
1295457979366617091	no	NA	NA	NA	NA	no	no
1290469785122340869	yes	no	yes	no	no	no	yes
1299355313896919040	yes	no	yes	no	no	no	yes
1292762586665099265	yes	no	yes	no	no	no	yes
1366836959360950272	yes	no	yes	no	yes	yes	yes
1293653157034242048	yes	no	yes	no	no	no	yes
1367425608624521217	yes	no	yes	no	no	no	yes
1299794765836423170	yes	no	yes	yes	no	yes	yes
1299287059039956993	no	NA	NA	NA	NA	no	no
1265373033809752064	yes	no	yes	no	no	no	no
1296858637466587136	yes	no	yes	no	no	no	yes
1241429605434765312	no	NA	NA	NA	NA	no	no
1366808180500680705	yes	no	yes	no	yes	no	no
1289890970742296576	no	NA	NA	NA	NA	yes	yes
1241562609163345923	yes	yes	yes	yes	yes	yes	yes
1366697132380536832	yes	no	yes	no	no	no	yes
1295244805161857024	yes	no	no	no	no	no	yes
1367110621066633224	yes	no	yes	no	no	no	yes
1292486745422995457	yes	no	yes	no	no	no	no
1292871723520602114	yes	no	yes	no	yes	no	yes
1263696088780943364	yes	no	yes	yes	no	yes	yes
1294237859424145410	yes	no	yes	no	no	no	yes
1246203323234938880	yes	no	yes	yes	no	yes	yes
1292196031304736769	no	NA	NA	NA	NA	no	yes
1294206738657415168	yes	no	yes	no	yes	no	yes
1297596326880960514	no	NA	NA	NA	NA	no	yes
1261408368926666752	yes	no	yes	no	no	no	yes
1297144042384510976	yes	no	yes	yes	no	yes	yes
1295796292103344128	yes	no	yes	no	no	no	no
1294245095403855873	no	NA	NA	NA	NA	no	yes
1367468542468231170	no	NA	NA	NA	NA	no	no
1366819650017853446	yes	yes	yes	no	yes	no	yes
1292060215618211840	no	NA	NA	NA	NA	no	yes
1289153554834272256	yes	no	yes	no	no	no	yes
1293607949684924416	no	NA	NA	NA	NA	no	no
1294310170479284225	yes	no	yes	no	no	no	yes
1366499573095690240	no	NA	NA	NA	NA	no	yes
1232426778930696193	yes	no	yes	no	no	no	yes
1291416242537009152	yes	no	yes	no	yes	no	no
1367209564714790915	yes	no	yes	no	no	no	yes
1289839273680617473	no	NA	NA	NA	NA	yes	yes
1293189738661175301	yes	no	yes	no	no	no	no
1292339240198705152	yes	no	yes	no	yes	no	yes
1293190433275748355	yes	no	yes	no	yes	no	yes
1293406970309943299	yes	no	yes	no	no	no	yes
1366682420192440323	no	NA	NA	NA	NA	no	no
1366640428020359169	yes	no	yes	no	no	no	yes
1289745954766295040	yes	yes	yes	no	yes	no	yes
1297016033765662720	yes	no	yes	yes	yes	no	yes
1240055967661920258	yes	yes	yes	no	yes	yes	yes
1241328615247302659	no	NA	NA	NA	NA	yes	no
1292068123894587392	yes	no	yes	yes	no	yes	yes
1289896111314890752	yes	no	yes	NA	yes	no	yes
1293213670160379904	yes	yes	yes	yes	no	no	yes
1367077034346840068	no	NA	NA	NA	NA	no	no
1293249914110124035	yes	no	yes	no	no	no	NA
1294331541443751937	yes	no	yes	no	no	no	no
1367089188462551042	no	NA	NA	NA	NA	no	yes
1295003463970107392	yes	no	yes	no	no	no	yes
1298686967979401216	yes	no	yes	no	no	no	yes
1293114215419478016	yes	no	yes	no	yes	no	yes
1290037245429182464	yes	no	yes	no	no	no	yes
1293106091715371008	yes	no	yes	no	yes	no	yes
1293138104916807680	yes	no	yes	no	yes	no	no
1293955729074933760	yes	no	yes	no	no	no	yes
1366614327692787714	yes	no	yes	no	yes	no	yes
1289461662404112384	no	NA	NA	NA	NA	no	no
1293629348856172546	yes	no	yes	no	no	no	yes
1293148573874495489	no	NA	NA	NA	NA	no	yes
1296774046550577153	yes	no	yes	no	no	no	yes
1367493878820073483	no	NA	NA	NA	NA	no	yes
1287430719816572930	yes	no	yes	no	yes	no	yes
1240479408420458496	yes	yes	yes	yes	yes	yes	yes
1367465646259384329	no	NA	NA	NA	NA	no	no
1293465191255027712	no	NA	NA	NA	NA	yes	yes
1240836105777197059	yes	no	yes	no	no	no	no
1293366596304601089	yes	no	yes	no	yes	no	yes
1267049706875748353	yes	no	yes	no	no	no	no
1241087522630926336	yes	yes	yes	yes	yes	yes	yes
1366810248040902662	yes	no	yes	no	no	no	yes
1366496912615084032	yes	no	yes	no	yes	no	yes
1251616494515085313	yes	no	yes	no	no	no	yes
1293526057648369665	yes	yes	yes	yes	yes	yes	yes
1243780283419295745	no	NA	NA	NA	NA	no	no
1366738750370443266	yes	no	yes	no	no	no	yes
1241111055276834816	yes	NA	yes	yes	yes	no	yes
1292208899655897092	no	NA	NA	NA	NA	no	no
1298313066996801538	no	NA	NA	NA	NA	no	no
1367489162258046978	no	NA	NA	NA	NA	no	yes
1256249347806765056	yes	no	yes	no	no	no	no
1260230074596458496	yes	no	yes	no	yes	no	yes
1241322629425963010	yes	yes	yes	no	yes	yes	yes
1286605705944891392	yes	no	yes	yes	no	no	no
1240796008847749121	yes	no	yes	no	no	no	no
1296829917611655168	yes	yes	yes	no	no	no	yes
1259667832305889281	yes	no	yes	no	yes	no	yes
1295444753769795586	yes	no	yes	no	yes	no	yes
1288058106149244929	yes	no	yes	no	no	no	yes
1293120411782336513	no	NA	NA	NA	NA	no	no
1366681042128625665	yes	no	yes	no	no	no	yes
1292280011718705152	yes	yes	yes	yes	yes	yes	yes
1367528413687410694	no	NA	NA	NA	NA	no	yes
1293924675857321984	yes	no	yes	no	no	no	no
1291442309708611586	yes	no	yes	no	no	no	yes
1367503331787169799	no	NA	NA	NA	NA	no	no
1289977016544923648	yes	yes	yes	yes	no	yes	yes
1292199881428340737	no	NA	NA	NA	NA	no	yes
1367140964012339201	yes	no	yes	no	no	no	yes
1293289489784352775	no	NA	NA	NA	NA	no	no
1367383316324835337	no	NA	NA	NA	NA	yes	yes
1293182340923944961	yes	no	yes	no	yes	no	yes
1367232893702066189	no	NA	NA	NA	NA	yes	yes
1293509800773517312	no	NA	NA	NA	NA	no	no
1293906401350176774	yes	no	yes	no	no	no	no
1267543919602151429	yes	no	yes	no	yes	no	no
1366879763240001542	yes	no	yes	no	yes	no	yes
1299227714143031296	yes	yes	yes	no	yes	no	no
1293119676684406784	yes	no	yes	no	no	no	yes
1293127442912157696	no	NA	NA	NA	NA	no	no
1366785876823597059	no	NA	NA	NA	NA	no	no
1292096529998721024	yes	no	yes	no	no	no	yes
1293476095019429888	yes	no	yes	yes	yes	yes	yes
1294244637180407808	yes	no	yes	no	no	no	no
1274938176277221376	yes	no	yes	no	no	no	no
1291609409572016129	yes	yes	yes	yes	no	yes	yes
1299040228020228096	yes	no	yes	no	no	no	yes
1289541648582549505	yes	yes	yes	no	no	no	yes
1288071472146259968	yes	no	yes	no	no	no	no
1293525619322609670	no	NA	NA	NA	NA	no	no
1290435252599627776	no	NA	NA	NA	NA	no	yes
1367497595577319429	no	NA	NA	NA	NA	no	no
1292227085440880641	no	NA	NA	NA	NA	no	no
1293162730514518023	no	NA	NA	NA	NA	no	no
1261748253047033857	no	NA	NA	NA	NA	no	no
1367495151791276037	no	NA	NA	NA	NA	no	yes
1367076063168315398	no	NA	NA	NA	NA	NA	yes
1293121977943826433	yes	no	yes	no	yes	no	yes
1293280413541072903	no	NA	NA	NA	NA	yes	no
1292310432494034945	yes	no	yes	no	no	no	yes
1295871640379719682	no	NA	NA	NA	NA	yes	no
1291340282903121922	yes	no	yes	no	no	no	no
1367211210412851203	yes	no	yes	no	yes	no	yes
1300488522315395072	no	NA	NA	NA	NA	no	no
1367040413408911363	yes	yes	yes	NA	yes	NA	yes
1296374604315922433	yes	no	yes	yes	no	no	yes
1293137369017856000	yes	no	yes	no	no	no	yes
1367111856565944326	yes	no	yes	no	no	no	yes
1297675933546053634	no	NA	NA	NA	NA	no	yes
1289544021795168258	yes	no	yes	no	no	no	no
1293179620003438592	yes	yes	yes	no	no	yes	no
1293855139837685760	yes	yes	yes	no	yes	no	yes
1290068339595726850	yes	no	yes	no	no	no	yes
1293095391924293632	yes	yes	yes	no	no	no	yes
1292829036016734208	yes	no	yes	no	yes	no	yes
1366303588188909568	no	NA	NA	NA	NA	no	no
1367517379001991182	no	NA	NA	NA	NA	no	no
1293517445316194305	yes	no	yes	no	no	no	yes
1292873987802959875	yes	yes	yes	no	no	no	yes
1367071314306097153	no	NA	NA	NA	NA	no	no
1366854317970493441	yes	no	yes	no	no	no	yes
1366728407053201415	no	NA	NA	NA	NA	no	no
1293293738773577729	yes	yes	yes	no	no	no	no
1293281046440673284	no	NA	NA	NA	NA	no	no
1293471882893819906	yes	no	yes	yes	no	no	yes
1296458198103318528	yes	no	yes	no	yes	no	yes
1297043632663527425	yes	yes	no	yes	no	yes	no
1367500369253851146	no	NA	NA	NA	NA	no	no
1296416740952375296	yes	no	yes	no	no	no	no
1367467530617565193	no	NA	NA	NA	NA	no	no
1293305961403371520	yes	yes	yes	yes	yes	yes	yes
1367055173303033856	no	NA	NA	NA	NA	no	yes
1292211931672203269	yes	no	yes	no	yes	no	yes
1290616430350733313	no	NA	NA	NA	NA	yes	yes
1293247500695076864	yes	yes	yes	yes	no	no	yes
1260215182153973762	yes	no	yes	no	no	no	yes
1267783678022868993	yes	yes	yes	no	no	yes	yes
1276108203814682624	yes	no	yes	no	yes	yes	yes
1367163709236404229	yes	no	yes	no	no	no	yes
1251116011849428998	no	NA	NA	NA	NA	no	yes
1293968971486638086	no	NA	NA	NA	NA	no	no
1294591028683571206	no	NA	NA	NA	NA	no	yes
1366457285636206602	no	NA	NA	NA	NA	no	no
1293114708480819200	yes	no	yes	no	yes	no	yes
1240247959842967553	yes	yes	yes	yes	yes	yes	yes
1267439329909014528	no	NA	NA	NA	NA	yes	yes
1367517823266865157	no	NA	NA	NA	NA	no	yes
1224044812267073537	yes	no	yes	no	no	no	yes
1241312842277584907	yes	no	yes	no	no	no	no
1292393615222874112	yes	no	yes	no	yes	no	no
1300148379322929152	yes	yes	yes	yes	yes	yes	yes
1289828735831613441	yes	yes	yes	no	no	no	no
1300513276728619008	yes	yes	yes	yes	yes	yes	yes
1241795860796669953	no	NA	NA	NA	NA	no	no
1257913775841312769	yes	yes	yes	no	yes	yes	yes
1292081092959313925	no	NA	NA	NA	NA	no	no
1240201216799510529	yes	no	yes	no	no	no	no
1239828063904501761	yes	no	yes	yes	no	yes	yes
1299354822697791494	yes	no	yes	no	yes	no	yes
1300495805846114304	yes	no	yes	no	no	no	yes
1293107218561236992	yes	yes	yes	no	yes	no	no
1296026075571662848	yes	yes	yes	no	no	no	yes
1285294579827318787	yes	yes	yes	no	yes	no	yes
1296481495222292487	yes	no	yes	no	yes	no	yes
1300525223217946624	yes	yes	yes	yes	yes	no	yes
1291323137414574081	yes	no	yes	no	yes	no	yes
1293143486850576384	yes	no	yes	no	no	no	yes
1292838366585724930	yes	no	yes	no	no	no	no
